step_time,reward,total_stopped,total_wait_time,average_wait_time
5.0,0.0,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,-0.04,4,4.0,1.0
20.0,-0.37,8,41.0,5.125
25.0,-0.42,10,83.0,8.3
30.0,-0.58,12,141.0,11.75
35.0,-0.5999999999999999,12,201.0,16.75
40.0,-0.7600000000000002,16,277.0,17.3125
45.0,-0.8500000000000001,18,362.0,20.11111111111111
50.0,-0.9500000000000002,20,457.0,22.85
55.0,-1.04,22,561.0,25.5
60.0,-1.1099999999999994,23,672.0,29.217391304347824
65.0,-1.25,26,797.0,30.653846153846153
70.0,-1.2999999999999998,26,927.0,35.65384615384615
75.0,-1.4000000000000004,30,1067.0,35.56666666666667
80.0,-1.5,30,1217.0,40.56666666666667
85.0,-1.5999999999999996,34,1377.0,40.5
90.0,-1.790000000000001,36,1556.0,43.22222222222222
95.0,-1.92,40,1748.0,43.7
100.0,-2.0,40,1948.0,48.7
105.0,-2.0599999999999987,42,2154.0,51.285714285714285
110.0,-2.1999999999999993,44,2374.0,53.95454545454545
115.0,-2.280000000000001,46,2602.0,56.56521739130435
120.0,-0.19000000000000128,42,2621.0,62.404761904761905
125.0,2.0199999999999996,37,2419.0,65.37837837837837
130.0,2.9299999999999997,32,2126.0,66.4375
135.0,0.7300000000000004,30,2053.0,68.43333333333334
140.0,0.6000000000000014,30,1993.0,66.43333333333334
145.0,-1.0800000000000018,32,2101.0,65.65625
150.0,-1.5999999999999979,32,2261.0,70.65625
155.0,1.1799999999999997,28,2143.0,76.53571428571429
160.0,3.5700000000000003,25,1786.0,71.44
165.0,1.9299999999999997,14,1593.0,113.78571428571429
170.0,0.3100000000000005,16,1562.0,97.625
175.0,-0.7900000000000009,22,1641.0,74.5909090909091
180.0,0.9600000000000009,24,1545.0,64.375
185.0,2.58,18,1287.0,71.5
190.0,2.9899999999999984,14,988.0,70.57142857142857
195.0,1.120000000000001,16,876.0,54.75
200.0,-0.8200000000000003,18,958.0,53.22222222222222
205.0,-1.0,24,1058.0,44.083333333333336
210.0,-0.1899999999999995,20,1077.0,53.85
215.0,0.6899999999999995,14,1008.0,72.0
220.0,0.07000000000000028,16,1001.0,62.5625
225.0,-0.8000000000000007,16,1081.0,67.5625
230.0,-0.9299999999999997,20,1174.0,58.7
235.0,-1.1400000000000006,24,1288.0,53.666666666666664
240.0,-1.209999999999999,25,1409.0,56.36
245.0,-1.3000000000000007,26,1539.0,59.19230769230769
250.0,-1.3200000000000003,28,1671.0,59.67857142857143
255.0,-1.3999999999999986,28,1811.0,64.67857142857143
260.0,3.58,22,1453.0,66.04545454545455
265.0,4.33,24,1020.0,42.5
270.0,0.1399999999999988,22,1006.0,45.72727272727273
275.0,-0.33000000000000007,24,1039.0,43.291666666666664
280.0,-1.129999999999999,24,1152.0,48.0
285.0,-1.3000000000000007,26,1282.0,49.30769230769231
290.0,-1.4000000000000004,28,1422.0,50.785714285714285
295.0,-1.4900000000000002,30,1571.0,52.36666666666667
300.0,-1.5899999999999999,32,1730.0,54.0625
305.0,-1.759999999999998,38,1906.0,50.1578947368421
310.0,0.5199999999999996,35,1854.0,52.97142857142857
315.0,2.9399999999999995,26,1560.0,60.0
320.0,3.7699999999999996,22,1183.0,53.77272727272727
325.0,1.25,14,1058.0,75.57142857142857
330.0,1.33,12,925.0,77.08333333333333
335.0,1.2999999999999998,15,795.0,53.0
340.0,1.8100000000000005,19,614.0,32.31578947368421
345.0,1.3599999999999994,19,478.0,25.157894736842106
350.0,-0.009999999999999787,16,479.0,29.9375
355.0,0.41000000000000014,16,438.0,27.375
360.0,0.5899999999999999,14,379.0,27.071428571428573
365.0,0.81,17,298.0,17.529411764705884
370.0,0.3700000000000001,12,261.0,21.75
375.0,0.54,12,207.0,17.25
380.0,-0.3500000000000001,16,242.0,15.125
385.0,-0.8500000000000001,18,327.0,18.166666666666668
390.0,-0.8999999999999999,18,417.0,23.166666666666668
395.0,-0.96,20,513.0,25.65
400.0,-1.0,20,613.0,30.65
405.0,-1.08,22,721.0,32.77272727272727
410.0,-0.3600000000000003,19,757.0,39.8421052631579
415.0,-0.3899999999999997,22,796.0,36.18181818181818
420.0,-1.1000000000000005,22,906.0,41.18181818181818
425.0,-1.2599999999999998,26,1032.0,39.69230769230769
430.0,-1.299999999999999,26,1162.0,44.69230769230769
435.0,-1.4400000000000013,30,1306.0,43.53333333333333
440.0,-1.5099999999999998,31,1457.0,47.0
445.0,-1.620000000000001,34,1619.0,47.61764705882353
450.0,-1.7999999999999972,37,1799.0,48.62162162162162
455.0,-1.9100000000000001,39,1990.0,51.02564102564103
460.0,0.3200000000000003,35,1958.0,55.94285714285714
465.0,2.6099999999999994,26,1697.0,65.26923076923077
470.0,1.7699999999999996,19,1520.0,80.0
475.0,-0.4300000000000015,19,1563.0,82.26315789473684
480.0,-1.2200000000000006,28,1685.0,60.17857142857143
485.0,-1.7099999999999973,39,1856.0,47.58974358974359
