step_time,reward,total_stopped,total_wait_time,average_wait_time
5.0,0.0,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,-0.07,4,7.0,1.75
20.0,-0.45,10,52.0,5.2
25.0,-0.24,6,76.0,12.666666666666666
30.0,-0.24,8,100.0,12.5
35.0,0.07999999999999996,4,92.0,23.0
40.0,-0.14,6,106.0,17.666666666666668
45.0,0.32000000000000006,3,74.0,24.666666666666668
50.0,0.35,4,39.0,9.75
55.0,-0.35,8,74.0,9.25
60.0,-0.44999999999999996,9,119.0,13.222222222222221
65.0,0.10999999999999988,6,108.0,18.0
70.0,0.30000000000000004,5,78.0,15.6
75.0,0.19000000000000006,3,59.0,19.666666666666668
80.0,0.04999999999999993,5,54.0,10.8
85.0,0.06000000000000005,6,48.0,8.0
90.0,-0.44000000000000006,10,92.0,9.2
95.0,-0.32999999999999996,10,125.0,12.5
100.0,-0.53,12,178.0,14.833333333333334
105.0,0.14000000000000012,6,164.0,27.333333333333332
110.0,0.6799999999999999,5,96.0,19.2
115.0,0.54,2,42.0,21.0
120.0,0.22999999999999998,4,19.0,4.75
125.0,-0.21000000000000002,4,40.0,10.0
130.0,-0.25,6,65.0,10.833333333333334
135.0,-0.31999999999999995,7,97.0,13.857142857142858
140.0,-0.48,10,145.0,14.5
145.0,0.19999999999999996,4,125.0,31.25
150.0,0.69,4,56.0,14.0
155.0,0.44000000000000006,0,12.0,0.0
160.0,-0.09,7,21.0,3.0
165.0,-0.31000000000000005,6,52.0,8.666666666666666
170.0,-0.27,8,79.0,9.875
175.0,-0.1499999999999999,8,94.0,11.75
180.0,-0.45999999999999996,10,140.0,14.0
185.0,0.11999999999999988,6,128.0,21.333333333333332
190.0,0.5700000000000001,4,71.0,17.75
195.0,0.17999999999999994,6,53.0,8.833333333333334
200.0,-0.19999999999999996,10,73.0,7.3
205.0,-0.24,6,97.0,16.166666666666668
210.0,-0.26,8,123.0,15.375
215.0,-0.5,10,173.0,17.3
220.0,-0.5699999999999998,14,230.0,16.428571428571427
225.0,0.19999999999999973,8,210.0,26.25
230.0,0.81,9,129.0,14.333333333333334
235.0,0.030000000000000027,10,126.0,12.6
240.0,-0.16999999999999993,12,143.0,11.916666666666666
245.0,-0.32000000000000006,10,175.0,17.5
250.0,-0.31000000000000005,12,206.0,17.166666666666668
255.0,-0.08999999999999986,11,215.0,19.545454545454547
260.0,-0.6499999999999999,14,280.0,20.0
265.0,0.2799999999999998,9,252.0,28.0
270.0,0.9199999999999999,8,160.0,20.0
275.0,0.53,4,107.0,26.75
280.0,-0.25,10,132.0,13.2
285.0,-0.1299999999999999,8,145.0,18.125
290.0,-0.09000000000000008,9,154.0,17.11111111111111
295.0,-0.5699999999999998,12,211.0,17.583333333333332
300.0,-0.6000000000000001,12,271.0,22.583333333333332
305.0,0.21999999999999975,12,249.0,20.75
310.0,0.7700000000000002,8,172.0,21.5
315.0,0.56,4,116.0,29.0
320.0,-0.10000000000000009,10,126.0,12.6
325.0,-0.10000000000000009,9,136.0,15.11111111111111
330.0,-0.1399999999999999,10,150.0,15.0
335.0,-0.6000000000000001,12,210.0,17.5
340.0,-0.6599999999999997,16,276.0,17.25
345.0,0.009999999999999787,14,275.0,19.642857142857142
350.0,0.6600000000000001,10,209.0,20.9
355.0,0.06999999999999984,8,202.0,25.25
360.0,-0.14000000000000012,12,216.0,18.0
365.0,-0.17999999999999972,12,234.0,19.5
370.0,-0.15000000000000036,12,249.0,20.75
375.0,-0.69,16,318.0,19.875
380.0,-0.8799999999999994,18,406.0,22.555555555555557
385.0,0.22999999999999954,15,383.0,25.533333333333335
390.0,1.63,8,220.0,27.5
395.0,0.3200000000000003,3,188.0,62.666666666666664
400.0,0.31999999999999984,8,156.0,19.5
405.0,0.050000000000000044,10,151.0,15.1
410.0,-0.4999999999999998,10,201.0,20.1
415.0,-0.6300000000000003,14,264.0,18.857142857142858
420.0,-0.6999999999999997,14,334.0,23.857142857142858
425.0,0.31999999999999984,12,302.0,25.166666666666668
430.0,1.09,4,193.0,48.25
435.0,0.20999999999999996,2,172.0,86.0
440.0,-0.010000000000000009,8,173.0,21.625
445.0,-0.54,13,227.0,17.46153846153846
450.0,-0.79,16,306.0,19.125
455.0,-0.6000000000000001,15,366.0,24.4
460.0,-0.8700000000000001,18,453.0,25.166666666666668
465.0,0.2600000000000007,14,427.0,30.5
470.0,1.4399999999999995,7,283.0,40.42857142857143
475.0,0.99,0,184.0,0.0
480.0,0.24,6,160.0,26.666666666666668
485.0,-0.45999999999999996,11,206.0,18.727272727272727
490.0,-0.5899999999999999,12,265.0,22.083333333333332
495.0,-0.6200000000000001,14,327.0,23.357142857142858
500.0,-0.8000000000000003,16,407.0,25.4375
505.0,0.3400000000000003,13,373.0,28.692307692307693
510.0,1.3599999999999999,4,237.0,59.25
515.0,0.16999999999999993,4,220.0,55.0
520.0,-0.3099999999999996,14,251.0,17.928571428571427
525.0,-0.6700000000000004,14,318.0,22.714285714285715
